County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Gaines,28.3,36.12,8.87,1.06,41.63,95.01,2.25,1.0,0.43,0.06,1.24,36009,56321,52567,15.4,22.0,36.96,63.04,60.4,10.5,3.0,21492,11.67,32.2,67.8,Texas,48165,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Galveston,38.1,24.05,14.9,1.55,24.98,80.3,13.27,0.8,3.45,0.11,2.07,51785,71959,49390,12.1,16.6,93.85,6.15,87.6,28.9,5.2,342139,769.93,17.4,82.6,Texas,48167,TX,1,Metro - Counties in metro areas of 1 million population or more
Garza,34.6,16.73,11.54,1.4,51.56,89.08,7.48,1.01,0.75,0.1,1.59,30072,46490,39320,24.6,26.4,77.67,22.33,57.0,8.8,3.3,6229,7.23,23.1,76.9,Texas,48169,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Gillespie,50.3,19.74,30.05,4.21,23.5,96.52,0.67,1.13,0.48,0.17,1.03,60561,61433,38547,9.6,15.7,46.35,53.65,89.3,34.1,2.6,26988,23.47,22.1,77.9,Texas,48171,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Glasscock,36.9,25.41,14.9,1.42,38.53,97.12,1.58,0.5,0.14,0.14,0.5,102145,83330,58493,9.7,13.3,0.0,100.0,75.2,25.2,2.6,1409,1.36,19.5,80.5,Texas,48173,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Goliad,46.2,20.72,23.92,3.17,36.15,91.9,5.21,0.98,0.54,0.03,1.36,43858,55008,35801,14.4,22.6,0.0,100.0,88.8,16.0,4.9,7658,8.46,15.8,84.2,Texas,48175,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Gonzales,37.2,26.71,17.14,1.91,51.25,89.02,7.3,1.71,0.55,0.14,1.28,43342,49829,42122,16.9,25.3,34.72,65.28,72.5,13.7,3.5,20837,18.57,25.5,74.5,Texas,48177,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Gray,37.7,25.32,16.13,2.12,29.25,90.18,5.39,1.63,0.68,0.0,2.12,44002,49121,49587,16.7,21.9,80.61,19.39,80.3,13.6,5.3,21886,24.34,23.3,76.7,Texas,48179,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Grayson,39.4,23.66,17.75,1.99,13.8,87.59,6.24,1.8,1.52,0.09,2.77,42195,51403,43724,12.3,16.6,56.85,43.15,87.6,20.2,3.5,136212,129.58,20.5,79.5,Texas,48181,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Gregg,36.0,25.71,15.69,2.13,18.95,74.54,20.88,1.0,1.38,0.1,2.09,45401,50610,47516,15.1,20.9,86.64,13.36,83.7,20.7,5.1,123945,445.4,21.1,78.9,Texas,48183,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Grimes,40.3,22.1,17.78,1.86,24.38,81.01,15.56,0.99,0.39,0.12,1.94,35450,49498,49614,17.5,25.3,31.1,68.9,77.8,13.2,5.3,28880,33.78,22.3,77.7,Texas,48185,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Guadalupe,37.4,24.73,14.15,1.51,38.24,85.56,8.59,0.96,1.94,0.22,2.73,44809,73864,44438,8.5,12.0,73.84,26.16,88.2,26.5,3.3,166847,184.92,14.5,85.5,Texas,48187,TX,1,Metro - Counties in metro areas of 1 million population or more
Hale,33.4,26.79,13.78,1.77,59.88,90.35,5.76,1.73,0.64,0.13,1.39,32263,42782,37633,18.4,26.2,76.9,23.1,75.4,15.8,5.1,33406,36.1,22.0,78.0,Texas,48189,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Hall,45.2,22.13,23.99,3.14,34.21,86.91,9.32,1.55,0.46,0.07,1.69,30180,32597,28510,24.1,38.8,0.0,100.0,72.1,12.5,6.2,2964,3.8,28.4,71.6,Texas,48191,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Hamilton,45.4,21.74,25.36,4.03,13.02,94.93,0.97,1.9,0.79,0.07,1.34,60744,49210,36599,14.7,23.4,35.62,64.38,82.2,21.5,3.9,8461,10.19,22.8,77.2,Texas,48193,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Hansford,34.0,29.69,15.04,2.43,48.26,95.5,0.97,1.72,0.46,0.05,1.3,62998,57240,57740,11.6,17.2,59.67,40.33,74.0,20.8,2.5,5399,6.1,27.8,72.2,Texas,48195,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Hardeman,43.7,21.51,23.19,3.08,23.92,89.82,5.85,1.27,0.64,0.0,2.42,38212,42469,36630,17.4,27.1,0.0,100.0,75.6,13.5,3.9,3933,5.95,25.6,74.4,Texas,48197,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Hardin,39.1,24.4,16.95,1.84,5.85,91.67,5.58,0.6,0.69,0.03,1.43,45982,60909,42903,12.4,17.1,48.45,51.55,86.9,16.1,6.1,57602,61.35,15.4,84.6,Texas,48199,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Harris,34.0,26.43,10.91,1.12,43.35,69.69,19.89,1.06,7.3,0.12,1.94,56474,60241,70558,16.5,24.8,98.79,1.21,80.2,30.1,5.0,4713325,2402.41,22.6,77.4,Texas,48201,TX,1,Metro - Counties in metro areas of 1 million population or more
Harrison,38.6,24.92,17.44,1.92,13.34,75.05,21.1,1.2,0.83,0.11,1.71,41917,50131,49400,14.7,22.8,43.95,56.05,82.8,17.7,5.2,66553,72.93,18.6,81.4,Texas,48203,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Hartley,40.3,20.88,15.44,2.35,27.2,90.29,7.02,0.7,0.84,0.04,1.12,62463,72451,40922,9.5,10.3,42.74,57.26,82.1,20.1,2.0,5576,4.15,23.5,76.5,Texas,48205,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Haskell,43.2,16.9,22.38,3.27,28.83,90.91,4.74,1.09,0.95,0.0,2.32,34530,40880,36605,23.1,33.9,52.38,47.62,68.5,13.5,4.7,5658,6.53,25.8,74.2,Texas,48207,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Hays,32.8,22.86,11.38,0.95,39.56,90.15,4.5,1.23,1.7,0.14,2.29,43719,68180,40318,13.2,12.1,68.29,31.71,88.9,36.3,3.1,230191,231.73,17.6,82.4,Texas,48209,TX,1,Metro - Counties in metro areas of 1 million population or more
Hemphill,36.4,30.19,15.87,2.17,33.94,94.93,0.83,1.64,1.25,0.13,1.22,58484,66849,59123,9.6,13.4,73.05,26.95,78.7,23.2,2.5,3819,4.2,24.5,75.5,Texas,48211,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Henderson,44.3,21.27,22.4,2.3,13.12,89.84,6.46,0.93,0.69,0.1,1.98,39627,43337,37208,19.4,29.9,39.89,60.11,82.9,17.5,4.2,82737,89.88,22.3,77.7,Texas,48213,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Hidalgo,29.7,32.13,11.32,1.42,92.34,97.01,0.88,0.53,1.05,0.04,0.49,26410,38785,34363,30.0,40.4,94.86,5.14,63.3,17.4,7.4,868707,493.21,32.1,67.9,Texas,48215,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Hill,41.6,23.14,20.97,2.48,21.04,89.63,6.77,0.94,0.64,0.15,1.87,39205,48670,41027,12.6,20.2,23.73,76.27,80.3,16.0,3.9,36649,36.59,22.8,77.2,Texas,48217,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Hockley,34.6,25.68,15.0,1.77,48.58,92.75,4.01,1.34,0.5,0.07,1.33,38975,46764,53790,19.5,28.1,60.15,39.85,78.2,14.7,3.7,23021,25.25,22.4,77.6,Texas,48219,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Hood,46.4,21.08,25.01,2.74,12.62,95.54,1.09,0.95,0.9,0.09,1.43,50741,60917,43893,10.2,16.8,67.15,32.85,88.2,25.8,4.2,61643,121.68,17.0,83.0,Texas,48221,TX,1,Metro - Counties in metro areas of 1 million population or more
Hopkins,39.6,24.16,18.57,2.1,17.19,88.78,7.41,0.99,0.71,0.12,1.99,39120,52079,39227,14.6,21.1,40.37,59.63,82.4,17.1,3.6,37084,45.83,22.8,77.2,Texas,48223,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Houston,44.6,19.77,22.54,2.86,11.37,71.7,25.47,0.67,0.78,0.01,1.37,38081,39533,49460,26.1,40.8,26.51,73.49,82.4,14.5,4.2,22968,19.28,21.2,78.8,Texas,48225,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Howard,36.8,21.85,13.13,1.73,43.05,88.23,7.02,1.67,1.19,0.09,1.8,40255,50423,51178,20.6,25.1,79.94,20.06,79.4,12.6,4.3,36664,38.87,18.5,81.5,Texas,48227,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Hudspeth,35.8,20.81,15.86,1.9,77.97,90.64,3.68,1.92,1.5,0.23,2.03,32472,42671,57753,17.8,25.0,0.0,100.0,52.2,7.5,6.0,4886,0.76,28.3,71.7,Texas,48229,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Hunt,38.0,23.83,16.04,1.67,16.88,86.48,8.33,1.25,1.57,0.18,2.2,38029,53360,52234,13.6,20.1,43.37,56.63,82.7,17.3,3.9,98594,102.5,19.8,80.2,Texas,48231,TX,1,Metro - Counties in metro areas of 1 million population or more
Hutchinson,38.1,25.35,17.1,2.16,23.7,91.69,2.96,2.22,0.71,0.09,2.34,41550,54351,61233,13.0,18.9,77.44,22.56,84.9,15.3,6.0,20938,24.96,20.0,80.0,Texas,48233,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Irion,43.3,22.53,21.35,2.47,25.86,95.58,1.25,1.19,0.26,0.0,1.72,68327,56775,62744,8.1,10.2,0.0,100.0,91.7,15.7,3.0,1536,1.52,12.8,87.2,Texas,48235,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Jack,38.3,21.71,16.96,1.66,17.18,93.0,4.05,1.08,0.53,0.14,1.21,44061,48780,60768,17.7,21.9,46.78,53.22,78.9,10.8,3.7,8935,9.93,23.3,76.7,Texas,48237,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Jackson,38.2,25.38,18.43,2.53,33.73,89.52,6.57,0.87,1.15,0.05,1.85,41770,54088,44782,12.9,19.4,38.18,61.82,84.1,17.3,4.0,14760,16.97,18.7,81.3,Texas,48239,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Jasper,41.6,23.75,20.23,2.06,6.84,81.04,16.01,0.74,0.56,0.08,1.57,40803,47551,41134,19.2,29.9,21.81,78.19,86.8,10.6,7.4,35529,38.04,16.7,83.3,Texas,48241,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Jeff Davis,58.7,6.82,35.71,3.78,32.63,93.67,1.43,1.34,1.43,0.04,2.1,42947,51343,32516,13.1,34.4,0.0,100.0,80.6,38.4,3.1,2274,1.03,29.6,70.4,Texas,48243,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Jefferson,36.5,24.06,14.94,1.98,21.4,59.09,34.14,1.01,3.95,0.09,1.71,44065,48121,57522,18.7,27.8,91.6,8.4,83.3,18.8,7.3,251565,287.89,20.5,79.5,Texas,48245,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Jim Hogg,34.4,30.56,17.12,1.27,92.68,97.27,0.81,0.6,0.56,0.04,0.73,30696,36176,39765,25.2,38.6,82.6,17.4,74.9,11.1,7.2,5200,4.66,19.2,80.8,Texas,48247,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Jim Wells,35.4,27.34,15.71,1.8,80.38,96.52,0.98,1.01,0.57,0.08,0.84,40570,41919,46969,21.2,33.3,59.91,40.09,73.4,10.7,7.5,40482,47.21,20.1,79.9,Texas,48249,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Johnson,36.8,25.93,14.31,1.29,21.95,91.73,3.85,0.98,0.93,0.5,2.02,41697,62635,44877,10.7,15.5,62.13,37.87,83.8,17.7,3.8,175817,208.27,19.0,81.0,Texas,48251,TX,1,Metro - Counties in metro areas of 1 million population or more
Jones,38.6,17.34,15.87,2.1,27.68,82.89,13.39,1.39,0.79,0.01,1.54,30559,43903,38185,22.0,24.0,14.85,85.15,77.3,11.0,5.3,20083,21.76,19.1,80.9,Texas,48253,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Karnes,35.0,21.27,14.17,2.01,55.34,88.17,9.27,1.03,0.51,0.03,0.99,49593,48743,55016,21.8,25.3,61.61,38.39,76.5,12.3,3.5,15601,19.83,18.8,81.2,Texas,48255,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Kaufman,35.1,27.91,11.83,1.06,22.27,82.84,12.55,1.02,1.36,0.09,2.14,42837,67434,42759,11.5,15.3,51.18,48.82,84.5,19.4,3.5,136154,132.38,17.8,82.2,Texas,48257,TX,1,Metro - Counties in metro areas of 1 million population or more
Kendall,42.6,23.12,19.3,2.34,24.21,94.65,1.42,0.73,1.36,0.09,1.75,84270,90937,49971,7.5,10.5,41.84,58.16,93.0,39.3,3.1,47431,50.43,15.4,84.6,Texas,48259,TX,1,Metro - Counties in metro areas of 1 million population or more
Kenedy,37.4,24.75,16.83,2.72,73.23,91.76,3.89,1.6,0.69,0.0,2.06,43561,42153,65819,14.3,20.3,0.0,100.0,57.6,11.5,3.3,404,0.29,26.8,73.2,Texas,48261,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Kent,47.7,21.65,26.38,4.46,19.28,94.08,1.52,1.65,0.14,0.14,2.48,54858,47625,38936,13.3,20.3,0.0,100.0,78.3,23.9,2.6,762,0.9,16.5,83.5,Texas,48263,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Kerr,48.3,18.94,28.08,3.58,27.26,93.8,1.96,1.14,1.21,0.11,1.79,50150,53704,41998,13.9,23.3,58.9,41.1,86.6,26.2,3.4,52600,44.98,21.7,78.3,Texas,48265,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Kimble,50.6,18.03,29.7,2.97,24.6,96.4,0.71,1.41,0.83,0.07,0.58,43309,42503,30911,17.6,35.9,55.7,44.3,83.1,17.0,3.5,4337,3.68,20.9,79.1,Texas,48267,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
King,41.0,26.47,18.75,2.94,15.58,95.65,0.0,1.45,0.0,0.36,2.54,55661,57925,41427,13.7,15.7,0.0,100.0,80.6,23.2,3.7,272,0.31,22.0,78.0,Texas,48269,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Kinney,42.5,19.17,24.82,3.27,61.08,93.69,2.14,1.52,0.43,0.22,2.0,30431,43192,45606,21.1,26.6,79.54,20.46,67.2,13.2,5.5,3667,2.65,18.0,82.0,Texas,48271,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Kleberg,28.4,23.92,13.19,1.58,73.32,90.82,4.13,0.91,2.45,0.17,1.52,38997,42605,38089,25.0,33.3,81.13,18.87,77.4,25.3,5.9,30680,36.38,19.2,80.8,Texas,48273,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Knox,39.5,26.06,20.09,2.54,34.82,89.62,6.09,1.28,0.27,0.03,2.7,38457,39726,40838,20.4,31.5,0.0,100.0,80.1,18.3,4.0,3664,4.37,25.5,74.5,Texas,48275,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
La Salle,31.6,19.71,13.54,1.53,86.92,96.82,1.33,0.79,0.4,0.03,0.63,35809,40072,69630,29.6,35.5,53.65,46.35,63.7,14.6,3.7,7520,4.63,16.5,83.5,Texas,48283,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lamar,40.2,23.61,19.51,2.43,7.99,81.02,13.41,1.84,0.77,0.05,2.91,40763,45767,41695,14.4,22.2,52.92,47.08,84.5,16.7,4.2,49859,54.89,20.6,79.4,Texas,48277,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Lamb,36.9,27.53,17.37,2.63,55.81,91.46,4.57,1.69,0.4,0.11,1.78,38247,42700,40780,20.0,27.8,42.31,57.69,74.2,17.4,5.2,12893,13.75,25.5,74.5,Texas,48279,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lampasas,43.8,21.6,20.17,2.16,19.44,90.0,4.09,1.28,1.35,0.47,2.81,49457,55151,34888,12.9,20.2,31.73,68.27,88.6,20.5,3.7,21428,27.6,18.7,81.3,Texas,48281,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Lavaca,43.6,23.26,23.69,3.65,19.27,90.82,6.51,0.63,0.54,0.08,1.42,50919,51128,39272,13.5,22.2,18.68,81.32,83.0,16.2,3.6,20154,19.86,17.1,82.9,Texas,48285,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lee,42.2,21.74,18.67,1.95,23.88,85.58,10.95,1.12,0.57,0.22,1.56,46713,55834,50118,12.3,17.8,30.28,69.72,82.3,17.0,3.3,17239,26.41,20.6,79.4,Texas,48287,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Leon,45.7,22.35,24.9,2.56,14.95,89.72,7.18,0.86,0.75,0.02,1.46,40388,47065,53551,15.6,24.4,0.0,100.0,84.5,16.7,6.3,17404,15.66,25.8,74.2,Texas,48289,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Liberty,34.8,27.04,12.92,1.17,26.59,86.37,9.91,1.17,0.73,0.1,1.72,37237,52577,46375,15.1,23.2,36.77,63.23,76.2,10.0,7.1,88219,65.3,21.6,78.4,Texas,48291,TX,1,Metro - Counties in metro areas of 1 million population or more
Limestone,40.7,22.02,19.93,2.24,22.35,78.65,17.38,1.21,0.74,0.07,1.95,35771,43226,43681,22.2,33.0,46.38,53.62,78.9,14.9,5.5,23437,25.83,21.8,78.2,Texas,48293,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lipscomb,38.9,25.33,19.08,3.0,34.14,92.31,1.94,2.06,0.87,0.18,2.63,64757,57332,54757,12.0,17.5,0.0,100.0,80.1,17.7,3.2,3233,3.54,27.8,72.2,Texas,48295,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Live Oak,41.6,19.83,20.75,2.59,40.45,92.07,4.76,1.2,0.76,0.09,1.12,35636,48814,55304,18.7,25.6,0.0,100.0,79.2,11.1,4.7,12207,11.09,21.1,78.9,Texas,48297,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Llano,57.8,15.12,37.25,4.75,10.77,95.88,1.21,0.96,0.59,0.04,1.33,47476,54019,37388,12.3,23.4,54.82,45.18,86.5,26.6,3.7,21795,20.66,20.7,79.3,Texas,48299,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Loving,31.3,28.99,13.61,0.0,16.22,95.95,3.38,0.68,0.0,0.0,0.0,56730,78637,51219,3.3,9.6,0.0,100.0,74.6,3.0,5.0,169,0.12,16.2,83.8,Texas,48301,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Lubbock,31.1,23.67,12.71,1.53,35.88,86.64,7.84,1.12,2.39,0.13,1.87,42569,50377,43951,17.6,20.3,88.66,11.34,85.1,28.0,3.2,310569,311.33,15.6,84.4,Texas,48303,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Lynn,37.1,27.26,16.37,1.87,47.44,93.14,2.75,1.88,0.46,0.02,1.74,33119,43436,47796,18.3,26.8,43.28,56.72,77.9,17.2,3.8,5951,6.63,20.0,80.0,Texas,48305,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Madison,34.7,21.24,15.85,1.92,23.39,76.18,19.93,1.2,0.8,0.08,1.8,30435,45445,38112,17.9,23.4,32.6,67.4,77.6,12.3,4.6,14284,29.32,20.6,79.4,Texas,48313,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Marion,51.1,18.08,27.37,2.71,4.3,74.07,21.23,1.27,0.91,0.08,2.44,38063,38011,33565,21.9,34.0,0.0,100.0,80.3,12.7,5.7,9854,27.69,19.2,80.8,Texas,48315,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Martin,32.6,31.35,11.42,1.32,47.42,93.91,2.92,1.36,0.55,0.09,1.18,56021,56484,54456,13.6,19.6,0.0,100.0,77.3,19.3,3.2,5771,5.25,19.0,81.0,Texas,48317,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Mason,49.5,20.19,29.25,3.32,25.83,96.81,0.92,0.75,0.33,0.28,0.92,44601,49560,34243,12.7,23.4,0.0,100.0,89.1,23.7,3.3,4274,4.32,27.6,72.4,Texas,48319,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Matagorda,37.8,25.56,17.44,1.94,42.84,83.6,11.29,1.37,1.9,0.12,1.72,40596,48830,56438,18.4,27.8,63.58,36.42,77.7,15.2,7.2,36643,33.36,21.3,78.7,Texas,48321,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Maverick,29.8,30.95,11.93,1.28,95.23,96.38,0.65,1.77,0.65,0.04,0.52,30505,35594,34102,25.9,35.0,90.74,9.26,58.7,11.7,9.3,58722,42.41,27.7,72.3,Texas,48323,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
McCulloch,43.0,22.13,22.44,3.01,32.77,93.18,2.74,1.18,0.83,0.09,1.98,37927,42719,42226,18.5,28.2,64.67,35.33,77.5,16.1,3.6,7984,7.77,19.8,80.2,Texas,48307,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
McLennan,33.4,24.52,14.7,1.97,26.66,79.95,14.95,1.12,1.75,0.11,2.11,41254,48858,46345,18.9,23.4,76.65,23.35,83.8,22.2,3.8,256623,226.5,18.4,81.6,Texas,48309,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
McMullen,48.6,19.78,25.44,3.63,42.95,93.16,2.46,0.68,0.68,0.0,3.01,72150,64633,53682,11.1,15.9,0.0,100.0,81.4,16.2,1.9,743,0.62,14.1,85.9,Texas,48311,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Medina,39.4,22.89,16.98,1.91,52.34,93.46,3.02,1.06,0.83,0.16,1.48,39403,59304,37513,12.3,17.9,38.44,61.56,82.5,19.4,3.8,51584,34.71,18.2,81.8,Texas,48325,TX,1,Metro - Counties in metro areas of 1 million population or more
Menard,53.8,18.05,32.69,5.0,36.75,95.42,1.65,1.65,0.19,0.0,1.08,35311,35881,28493,21.6,40.8,0.0,100.0,78.9,15.1,4.8,2138,2.49,28.3,71.7,Texas,48327,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Midland,32.1,28.56,10.43,1.54,45.22,88.11,6.82,1.14,2.14,0.12,1.67,124455,80189,75220,10.1,13.5,87.71,12.29,83.4,26.2,3.0,176832,152.03,16.4,83.6,Texas,48329,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Milam,42.3,23.76,21.13,2.78,26.81,86.6,9.53,1.24,0.87,0.06,1.7,36135,46720,41591,15.6,25.4,43.82,56.18,80.3,15.7,5.0,24823,24.34,19.0,81.0,Texas,48331,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Mills,49.8,20.42,29.06,4.17,18.25,96.23,1.15,0.98,0.41,0.02,1.21,37153,47068,33402,14.6,24.6,0.0,100.0,83.1,22.8,3.5,4873,6.6,26.9,73.1,Texas,48333,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Mitchell,35.3,20.63,14.73,1.65,40.67,83.19,11.92,1.78,0.69,0.12,2.3,31913,48529,45356,21.4,26.7,63.26,36.74,74.8,11.1,5.5,8545,10.32,21.1,78.9,Texas,48335,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
