County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Montague,43.9,22.45,22.42,2.61,11.0,95.49,0.77,1.43,0.47,0.04,1.8,42074,50542,41779,13.8,20.9,41.06,58.94,82.1,14.8,4.0,19818,21.18,22.9,77.1,Texas,48337,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Montgomery,37.1,26.09,13.41,1.25,24.69,88.21,5.63,0.99,3.16,0.11,1.9,63605,77598,56210,9.3,12.9,77.27,22.73,86.8,33.0,4.3,607391,437.49,17.7,82.3,Texas,48339,TX,1,Metro - Counties in metro areas of 1 million population or more
Moore,31.6,31.76,11.33,1.38,56.97,86.41,3.96,1.71,6.33,0.23,1.37,41275,53785,46724,12.2,16.8,83.19,16.81,63.9,13.5,2.9,20940,24.35,25.2,74.8,Texas,48341,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Morris,42.7,23.06,22.04,2.58,10.02,72.4,22.67,1.37,0.65,0.12,2.79,43421,41418,52675,20.2,31.1,21.58,78.42,86.9,16.5,8.6,12388,51.33,17.7,82.3,Texas,48343,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Motley,49.2,19.75,30.67,3.92,17.69,93.83,3.0,2.44,0.16,0.0,0.57,28938,41009,28729,17.8,30.3,0.0,100.0,88.4,17.4,3.7,1200,1.22,19.4,80.6,Texas,48345,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Nacogdoches,31.5,23.01,15.26,1.77,19.72,77.52,18.32,0.88,1.36,0.06,1.86,37755,45357,37636,21.6,25.5,53.54,46.46,81.2,25.2,4.3,65204,68.17,20.9,79.1,Texas,48347,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Navarro,37.9,26.41,17.26,1.99,27.79,81.19,13.43,1.11,0.75,1.53,1.98,37922,46259,38513,20.0,27.7,47.34,52.66,76.8,15.7,3.9,50113,47.28,21.8,78.2,Texas,48349,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Newton,44.1,19.61,21.17,2.31,3.69,76.49,20.14,0.86,0.6,0.01,1.9,33350,43367,36652,22.3,29.2,0.0,100.0,86.7,7.5,7.9,13595,15.47,19.6,80.4,Texas,48351,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Nolan,38.0,26.02,18.6,2.38,38.35,90.65,5.1,1.2,0.82,0.11,2.12,43087,42522,43186,18.2,26.5,67.34,32.66,80.1,12.7,4.1,14714,16.68,18.5,81.5,Texas,48353,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Nueces,36.1,24.31,14.92,1.79,64.14,90.97,4.26,0.86,2.2,0.14,1.58,44378,53034,47777,16.2,22.6,93.55,6.45,81.3,20.5,5.4,362294,405.76,20.3,79.7,Texas,48355,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Ochiltree,32.3,31.02,11.67,1.19,54.86,94.69,1.28,1.81,0.64,0.08,1.5,57287,49845,49209,10.5,15.7,86.09,13.91,75.9,16.4,3.7,9836,11.14,27.2,72.8,Texas,48357,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Oldham,40.2,23.39,14.96,1.33,16.38,92.4,3.31,1.09,1.42,0.05,1.75,49120,56590,41415,13.0,25.4,0.0,100.0,84.8,25.9,2.5,2112,1.37,15.2,84.8,Texas,48359,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Orange,38.2,24.76,16.46,1.84,8.03,87.54,8.79,0.74,1.2,0.09,1.64,44938,56556,53149,13.4,20.1,64.83,35.17,89.2,15.2,6.9,83396,245.26,16.3,83.7,Texas,48361,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Palo Pinto,41.6,23.0,20.19,2.1,20.06,93.66,2.57,1.13,0.9,0.09,1.65,39125,46067,45001,15.9,25.0,49.78,50.22,82.7,15.8,4.1,29189,29.53,22.6,77.4,Texas,48363,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Panola,40.7,23.29,19.79,1.93,8.88,80.45,15.86,0.71,0.83,0.06,2.1,43508,51192,47910,15.7,25.9,27.28,72.72,84.3,14.2,5.5,23194,29.68,19.4,80.6,Texas,48365,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Parker,39.3,24.73,15.63,1.52,12.63,94.93,1.59,0.95,0.68,0.07,1.78,53289,73718,46502,8.3,11.5,43.92,56.08,89.3,27.0,3.5,142878,129.42,17.7,82.3,Texas,48367,TX,1,Metro - Counties in metro areas of 1 million population or more
Parmer,35.1,28.21,14.22,1.79,64.03,93.99,1.75,1.64,0.9,0.34,1.39,44981,50539,42659,13.5,19.2,39.98,60.02,68.6,16.0,2.5,9605,11.66,28.2,71.8,Texas,48369,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Pecos,35.8,24.53,13.53,1.43,68.81,91.34,4.54,1.4,1.26,0.11,1.35,36584,47008,47626,19.5,24.3,60.22,39.78,68.8,9.6,4.5,15823,3.26,23.5,76.5,Texas,48371,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Polk,44.0,19.87,18.95,1.04,15.55,85.0,10.19,2.35,0.77,0.09,1.6,39438,46017,39945,15.0,24.7,22.36,77.64,80.5,12.0,6.0,51353,42.96,21.9,78.1,Texas,48373,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Potter,34.2,27.27,12.95,1.7,38.72,79.53,11.08,1.34,5.79,0.14,2.13,43945,41912,45397,19.7,27.7,91.0,9.0,76.4,14.6,3.2,117415,133.29,24.5,75.5,Texas,48375,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Presidio,39.7,26.83,23.88,4.24,82.41,92.61,1.53,1.6,3.12,0.01,1.12,42848,37738,41460,22.4,35.2,59.53,40.47,56.8,25.0,9.4,6704,2.03,32.0,68.0,Texas,48377,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Rains,47.8,20.18,24.96,2.02,9.32,93.73,2.57,1.16,0.91,0.06,1.57,33602,47572,32814,14.5,23.7,6.77,93.23,81.9,9.5,3.5,12514,47.57,22.1,77.9,Texas,48379,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Randall,36.3,23.9,15.56,1.65,22.27,91.57,3.48,0.98,1.81,0.08,2.07,47966,69600,44092,8.5,11.4,85.62,14.38,91.1,30.4,2.8,137713,132.44,13.2,86.8,Texas,48381,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Reagan,34.1,28.97,11.09,1.14,69.27,92.18,3.37,1.12,0.7,0.0,2.62,48253,65273,61452,10.0,13.5,86.69,13.31,71.5,11.5,3.8,3849,2.86,21.0,79.0,Texas,48383,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Real,52.6,16.43,30.5,2.61,28.19,94.65,1.01,1.84,0.35,0.35,1.81,34687,39506,26667,18.1,35.6,0.0,100.0,80.3,23.2,5.7,3452,4.73,23.8,76.2,Texas,48385,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Red River,47.7,19.57,25.32,3.27,7.33,79.48,16.68,1.56,0.35,0.01,1.93,40648,42233,34602,18.2,28.6,24.27,75.73,80.4,13.4,5.2,12023,12.41,19.0,81.0,Texas,48387,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Reeves,33.6,22.41,11.76,1.55,74.99,91.33,5.27,0.91,1.5,0.07,0.93,39418,45341,60934,21.5,21.9,85.5,14.5,61.0,11.2,3.5,15976,5.23,21.8,78.2,Texas,48389,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Refugio,44.1,22.06,23.27,2.68,50.61,89.73,6.31,1.06,0.93,0.03,1.94,42606,44821,40682,16.3,25.5,39.32,60.68,79.8,10.8,5.8,6948,9.58,17.4,82.6,Texas,48391,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Roberts,41.6,23.19,22.6,1.64,11.02,95.66,0.45,1.11,0.22,0.0,2.56,41971,67470,45308,7.8,10.2,0.0,100.0,93.9,31.5,3.7,854,1.01,13.2,86.8,Texas,48393,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Robertson,40.6,23.43,19.98,2.47,21.47,76.25,20.19,1.0,0.85,0.07,1.64,40394,44917,45181,15.8,25.6,26.15,73.85,82.6,17.4,4.7,17074,19.43,20.8,79.2,Texas,48395,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Rockwall,37.8,26.63,12.77,1.32,17.95,86.98,6.87,0.83,3.11,0.11,2.11,61003,102858,43042,5.1,6.9,83.96,16.04,91.9,38.0,3.3,104915,616.65,13.8,86.2,Texas,48397,TX,1,Metro - Counties in metro areas of 1 million population or more
Runnels,41.5,23.18,20.98,2.77,34.27,93.3,2.42,1.62,1.38,0.05,1.24,39816,42205,35849,16.9,23.9,59.24,40.76,78.8,18.1,3.8,10264,9.99,19.7,80.3,Texas,48399,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Rusk,39.3,22.1,16.9,2.03,17.2,78.79,17.6,1.05,0.66,0.08,1.82,36485,49788,43780,16.4,20.8,34.13,65.87,79.3,14.7,5.1,54406,57.71,21.7,78.3,Texas,48401,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Sabine,53.4,18.08,30.99,3.49,4.91,89.93,6.88,0.95,0.35,0.06,1.83,34631,40641,37316,17.6,28.5,0.0,100.0,85.4,12.9,8.6,10542,22.05,19.3,80.7,Texas,48403,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
San Augustine,50.0,19.46,27.04,4.02,7.18,75.41,21.78,0.75,0.31,0.01,1.73,39879,38826,38384,22.2,34.3,0.0,100.0,80.5,11.5,7.5,8237,16.71,19.7,80.3,Texas,48405,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
San Jacinto,45.5,21.21,22.48,2.19,13.25,86.48,9.67,0.96,0.53,0.06,2.29,34514,47028,35112,17.5,28.4,0.0,100.0,82.8,10.0,5.6,28859,46.35,22.8,77.2,Texas,48407,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
San Patricio,36.2,26.37,15.3,1.54,58.32,94.17,2.01,1.02,1.19,0.15,1.46,43945,53559,48612,17.3,26.1,80.35,19.65,78.1,14.5,7.6,66730,93.45,17.7,82.3,Texas,48409,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
San Saba,41.1,20.05,24.19,3.5,30.41,92.18,3.99,1.44,0.56,0.0,1.83,41233,43827,42027,16.8,28.0,50.64,49.36,74.5,14.5,3.2,6055,5.4,28.0,72.0,Texas,48411,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Schleicher,39.2,23.88,20.01,1.43,53.75,95.03,1.74,1.04,0.45,0.0,1.74,40136,47317,45307,16.5,23.8,0.0,100.0,76.3,19.1,3.7,2793,2.64,24.9,75.1,Texas,48413,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Scurry,36.7,24.8,15.36,2.22,40.61,90.72,5.3,1.35,0.76,0.05,1.83,42095,53059,56126,15.8,21.3,68.3,31.7,80.7,15.4,4.4,16703,18.69,19.4,80.6,Texas,48415,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Shackelford,44.2,22.85,21.16,2.51,10.87,95.27,1.75,0.68,0.43,0.06,1.81,130461,57126,58884,13.4,20.5,0.0,100.0,84.5,25.2,3.0,3265,3.69,21.1,78.9,Texas,48417,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Shelby,38.6,25.97,17.93,1.99,18.58,78.3,17.78,1.0,1.34,0.08,1.51,41666,41961,37926,20.6,30.1,20.57,79.43,75.4,15.3,5.1,25274,31.99,25.3,74.7,Texas,48419,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Sherman,37.6,26.74,15.29,2.15,44.34,94.84,1.81,1.26,0.84,0.0,1.26,49508,57052,42044,12.1,15.9,0.0,100.0,74.3,21.6,3.1,3022,3.29,28.3,71.7,Texas,48421,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Smith,36.8,24.39,16.9,2.08,19.75,77.78,17.84,0.82,1.66,0.1,1.79,55229,56848,45429,15.0,22.2,68.39,31.61,84.7,24.7,4.1,232751,227.59,21.7,78.3,Texas,48423,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Somervell,42.7,21.95,19.39,2.43,18.25,93.75,1.32,1.58,1.12,0.04,2.18,45756,63929,59912,9.7,14.2,0.0,100.0,82.7,19.2,4.5,9128,45.53,18.1,81.9,Texas,48425,TX,1,Metro - Counties in metro areas of 1 million population or more
Starr,29.0,32.64,11.4,1.26,96.3,98.65,0.41,0.4,0.24,0.02,0.27,26316,30490,30320,33.2,45.3,76.29,23.71,48.5,9.3,11.7,64633,49.84,29.9,70.1,Texas,48427,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Stephens,40.1,21.96,20.18,2.73,24.0,93.78,2.81,1.31,0.8,0.04,1.27,39289,43115,39047,19.4,30.4,60.63,39.37,77.1,16.9,4.7,9366,10.74,24.2,75.8,Texas,48429,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Sterling,36.4,28.51,14.41,2.71,40.49,93.17,2.15,2.3,0.54,0.08,1.76,58174,59064,44968,12.6,17.3,0.0,100.0,85.8,23.7,3.8,1291,1.24,18.2,81.8,Texas,48431,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Stonewall,47.7,22.44,26.74,5.11,18.79,91.27,3.33,1.7,1.7,0.0,2.0,53416,46915,38952,14.6,17.8,0.0,100.0,79.5,13.5,3.4,1350,1.63,19.8,80.2,Texas,48433,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Sutton,41.7,23.57,19.15,2.49,62.87,96.3,1.01,1.15,0.56,0.03,0.96,61478,54774,68360,14.2,22.6,81.2,18.8,76.6,16.8,5.1,3776,2.84,19.8,80.2,Texas,48435,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Swisher,36.3,24.66,17.64,2.62,44.62,87.29,8.42,1.69,0.63,0.08,1.89,41977,43084,36306,19.2,29.2,62.43,37.57,80.5,14.8,4.1,7397,8.82,23.4,76.6,Texas,48437,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Tarrant,34.8,26.03,11.63,1.24,29.16,73.09,17.53,0.88,5.73,0.24,2.52,51239,66059,55632,12.1,16.8,98.71,1.29,85.2,30.7,3.7,2102515,2094.74,19.0,81.0,Texas,48439,TX,1,Metro - Counties in metro areas of 1 million population or more
Taylor,32.6,24.81,14.58,2.02,24.76,85.38,8.28,1.01,2.31,0.15,2.87,45333,48040,42473,16.0,22.1,83.97,16.03,86.8,24.1,3.5,138034,143.64,17.4,82.6,Texas,48441,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Terrell,51.0,18.81,32.86,5.41,53.7,91.6,1.48,3.58,0.99,0.0,2.35,48024,41413,42097,18.9,22.8,0.0,100.0,76.4,17.0,4.9,776,0.42,19.5,80.5,Texas,48443,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Terry,34.6,27.22,15.06,1.84,55.73,91.72,4.91,1.25,0.57,0.07,1.48,32062,41268,46249,22.4,32.6,75.33,24.67,69.2,12.1,5.0,12337,14.23,24.7,75.3,Texas,48445,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Throckmorton,51.1,19.25,29.65,4.46,13.96,96.08,1.26,1.2,0.47,0.0,1.0,35941,42701,28655,14.3,24.3,0.0,100.0,80.6,19.9,4.3,1501,1.8,24.5,75.5,Texas,48447,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Titus,34.2,28.68,14.79,1.65,43.58,84.76,9.99,2.38,1.22,0.16,1.48,34718,45604,38006,18.6,29.7,49.44,50.56,72.1,15.2,5.3,32750,79.63,22.4,77.6,Texas,48449,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Tom Green,34.5,23.77,15.62,1.99,40.42,90.75,4.38,1.13,1.41,0.15,2.18,45993,51393,43100,15.5,23.7,84.36,15.64,83.3,22.4,3.7,119200,72.42,16.8,83.2,Texas,48451,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Travis,34.8,21.22,10.17,1.04,33.8,79.94,8.86,1.21,7.23,0.12,2.63,67504,76255,66723,12.0,15.2,94.54,5.46,88.2,46.4,3.0,1273954,1034.4,14.8,85.2,Texas,48453,TX,1,Metro - Counties in metro areas of 1 million population or more
Trinity,48.9,19.71,27.0,2.51,10.33,87.32,9.29,0.92,0.52,0.05,1.91,34514,40486,33543,17.7,30.3,22.76,77.24,83.7,12.2,5.5,14651,21.03,21.3,78.7,Texas,48455,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Tyler,42.5,19.26,22.59,2.62,8.05,85.7,11.35,0.84,0.61,0.05,1.46,32081,44041,35594,18.2,26.4,21.87,78.13,84.4,11.3,7.3,21672,23.54,17.9,82.1,Texas,48457,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Upshur,41.0,23.79,18.74,1.98,8.91,88.31,8.01,1.06,0.51,0.06,2.05,36645,48554,37490,15.9,21.1,20.7,79.3,83.4,15.8,5.2,41753,67.43,20.8,79.2,Texas,48459,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Upton,35.1,28.63,14.68,2.16,53.86,91.53,3.41,2.69,0.71,0.0,1.65,44545,53867,68076,14.2,20.2,0.0,100.0,75.4,9.9,3.8,3657,2.7,19.0,81.0,Texas,48461,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Uvalde,34.5,26.81,16.86,2.45,72.23,95.48,1.23,1.26,0.9,0.1,1.04,39458,39725,34063,22.9,35.0,68.62,31.38,69.3,14.9,4.7,26741,17.01,23.8,76.2,Texas,48463,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Val Verde,31.9,28.39,14.28,1.93,82.34,94.83,2.04,0.99,0.84,0.17,1.14,36554,44276,37204,18.9,28.9,89.84,10.16,66.9,17.5,5.1,49025,15.54,21.6,78.4,Texas,48465,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Van Zandt,42.7,22.98,20.31,2.16,11.25,93.8,2.84,0.93,0.5,0.15,1.78,38200,51152,35278,15.6,20.8,24.98,75.02,82.3,16.3,3.7,56590,62.4,21.4,78.6,Texas,48467,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Victoria,36.3,25.25,16.55,2.14,47.31,89.49,6.56,0.92,1.39,0.08,1.56,46142,51646,46341,15.4,21.4,73.37,26.63,83.6,18.8,4.8,92084,98.39,18.3,81.7,Texas,48469,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Walker,36.2,14.7,13.77,1.45,18.01,72.81,23.57,0.83,1.13,0.12,1.54,28016,43681,40759,26.1,28.3,54.42,45.58,82.6,19.5,4.6,72971,86.54,19.9,80.1,Texas,48471,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Waller,29.6,24.12,11.85,1.19,30.44,70.79,24.98,1.37,1.24,0.11,1.51,39995,59807,46469,15.9,19.9,38.36,61.64,78.4,18.7,4.9,55246,84.15,23.3,76.7,Texas,48473,TX,1,Metro - Counties in metro areas of 1 million population or more
Ward,33.9,28.84,13.58,2.0,54.43,90.87,4.99,1.45,0.6,0.09,2.01,49916,53621,63328,13.9,17.7,72.11,27.89,77.0,14.1,4.1,11998,12.75,18.9,81.1,Texas,48475,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Washington,41.6,21.36,21.99,3.52,16.26,78.61,17.56,0.54,1.81,0.05,1.42,52265,54332,39738,13.8,19.5,46.51,53.49,82.6,22.0,4.2,35882,55.83,19.3,80.7,Texas,48477,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Webb,29.1,32.41,9.73,1.12,95.45,97.62,0.7,0.57,0.62,0.05,0.43,31635,44919,36564,25.7,34.6,97.4,2.6,65.7,17.5,4.2,276652,74.46,29.8,70.2,Texas,48479,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Wharton,37.4,25.78,17.42,2.24,41.97,83.86,13.72,0.79,0.56,0.05,1.03,41473,48040,39491,16.8,26.0,50.1,49.9,78.0,14.5,4.5,41556,38.01,23.3,76.7,Texas,48481,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Wheeler,40.1,25.4,19.82,2.1,25.53,92.32,3.14,1.74,0.85,0.0,1.94,41801,48018,41950,14.0,20.9,0.0,100.0,80.3,14.1,4.1,5056,5.92,25.7,74.3,Texas,48483,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Wichita,34.6,22.53,15.01,2.13,19.51,82.46,11.11,1.33,2.14,0.14,2.81,43170,47477,39945,17.8,22.4,89.33,10.67,86.0,22.2,3.7,132230,209.47,17.3,82.7,Texas,48485,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Wilbarger,39.5,22.09,18.96,2.52,29.33,84.86,8.19,1.67,2.81,0.07,2.39,42041,44735,37216,15.3,23.6,78.11,21.89,78.0,15.5,4.7,12769,13.94,21.5,78.5,Texas,48487,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Willacy,33.1,23.48,14.31,1.88,88.27,95.13,2.71,0.69,0.86,0.06,0.55,28593,33171,35510,35.0,44.5,65.42,34.58,63.1,8.6,11.0,21358,37.48,22.6,77.4,Texas,48489,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Williamson,36.7,25.22,12.4,1.18,24.69,81.27,7.2,0.86,7.66,0.16,2.85,50776,87817,55645,6.4,7.9,88.01,11.99,92.9,39.4,3.2,590551,377.96,12.4,87.6,Texas,48491,TX,1,Metro - Counties in metro areas of 1 million population or more
Wilson,40.2,23.81,16.47,1.81,39.99,95.11,1.76,0.98,0.63,0.08,1.44,44255,71207,38858,10.9,14.6,14.14,85.86,84.9,19.3,3.5,51070,53.4,16.0,84.0,Texas,48493,TX,1,Metro - Counties in metro areas of 1 million population or more
Winkler,33.3,29.08,12.03,1.2,61.33,92.58,3.24,1.99,0.86,0.04,1.29,57584,56781,66480,14.1,20.1,81.87,18.13,68.1,10.3,5.2,8010,8.45,20.9,79.1,Texas,48495,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Wise,38.9,24.69,15.14,1.33,19.68,94.91,1.55,1.1,0.64,0.07,1.72,43752,66387,46714,9.9,14.1,27.89,72.11,84.6,16.9,4.0,69984,65.38,20.8,79.2,Texas,48497,TX,1,Metro - Counties in metro areas of 1 million population or more
Wood,48.9,18.86,27.51,2.8,10.18,91.25,5.55,1.04,0.58,0.07,1.52,38152,48384,37726,15.3,24.9,25.8,74.2,85.1,17.1,4.7,45539,65.04,20.0,80.0,Texas,48499,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Yoakum,30.6,32.7,11.86,1.33,66.82,95.09,1.43,1.72,0.55,0.03,1.18,41112,61560,62190,12.1,16.3,62.67,37.33,71.4,17.8,3.5,8713,9.85,22.4,77.6,Texas,48501,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Young,41.6,23.66,20.96,2.82,18.94,94.85,1.57,1.26,0.78,0.07,1.48,50231,49301,42430,13.9,20.4,66.43,33.57,81.6,18.6,3.8,18010,20.29,22.0,78.0,Texas,48503,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Zapata,30.0,33.06,13.16,1.47,94.54,98.53,0.4,0.47,0.28,0.01,0.32,28294,33160,50175,32.1,49.1,76.47,23.53,50.3,8.3,7.3,14179,14.04,28.4,71.6,Texas,48505,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Zavala,31.4,28.39,14.55,1.69,93.99,96.5,1.26,1.13,0.25,0.16,0.7,29202,30076,36398,32.0,44.5,61.97,38.03,59.2,9.1,11.1,11840,9.0,19.6,80.4,Texas,48507,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
